Subject,Age,Swedex,Eng.profic,SES,Mat.Ed,PropnSwedisUse,PropnEngUse,AoA.English,numL2,SCT.kanske,SCT.kanske.pronoun,SCT.kanske.noun,SCT.idag,SCT.idag.pronoun,SCT.idag.noun,SCT.hemma,SCT.hemma.pronoun,SCT.hemma.noun,AJT.dprime_kanske,AJT.dprime_idag,AJT.dprime_hemma
s04nm,33.75,9.75,0.88,30,3,70,20,10,2,1,1,1,1,1,1,1,1,1,2.21,1.91,1.33
s07ba,19.25,10,0.92,51.5,4,80,18.5,10,3,0.83,0.87,0.8,1,1,1,1,1,1,0.6,4.48,4.2
s09lo,20.33,9.5,0.92,45,6,65,30,7,2,0.93,0.93,0.93,1,1,1,1,1,1,0,4.02,3.6
s12wg,19,10,0.92,60.5,5,70,29,6,2,0.73,0.67,0.8,1,1,1,1,1,1,0.52,3.89,3.52
s13ft,25.42,10,0.84,62,6,75,20,10,2,1,1,1,0.93,0.88,1,1,1,1,1.82,3.18,2.41
s14mc,19.33,9.75,0.9,37.5,6,60,40,7,3,0.93,0.93,0.93,1,1,1,0.93,1,0.86,1.86,3.24,3
s15rj,19.67,10,0.9,59,6,70,30,10,2,0.93,0.93,0.93,1,1,1,1,1,1,0.8,3.08,3.08
s17oh,20.67,9.5,0.74,66,7,60,35,11,2,0.8,0.8,0.8,0.93,1,0.86,1,1,1,0.51,1.68,1.27
s18ak,27.17,9.75,0.84,64.5,6,90,10,10,1,0.8,0.87,0.73,1,1,1,1,1,1,0.29,3.17,3
s19am,20.58,10,0.9,63,6,90,6,9,3,1,1,1,1,1,1,1,1,1,2.89,3.45,3
s21ma,20.83,10,0.8,28,4,58,30,8,3,0.97,1,0.93,1,1,1,1,1,1,1.57,3.52,3.18
s23nj,27.33,9.75,0.94,48,3,50,40,6,4,0.97,1,0.93,1,1,1,1,1,1,0.68,4.48,4.48
s24zk,26.83,9,0.96,61,4,80,15,8,3,0.97,0.93,1,1,1,1,0.87,0.88,0.86,0.71,3.89,3.89
s25ks,22.42,9.75,0.8,14,3,60,40,9,2,1,1,1,0.93,0.88,1,1,1,1,4.2,2.85,2.63
s26mn,34.33,10,0.92,37.5,3,93,5,10,2,0.93,0.93,0.93,1,1,1,0.93,0.88,1,2.37,3.45,2.89
s27lm,25.67,9.75,0.62,31,2,80,15,19,2,0.9,0.93,0.87,1,1,1,0.93,0.88,1,1.09,4.02,3.4
s28js,30.17,10,0.84,42,4,90,5,10,4,1,1,1,1,1,1,1,1,1,1.31,3.05,3.08
s29ld,19.58,9.5,0.86,53,7,99,1,9,2,0.97,0.93,1,1,1,1,1,1,1,2.58,3.89,3.6
s30la,22.42,10,0.82,60.5,6,89,10,10,4,0.83,0.93,0.73,1,1,1,1,1,1,0.41,3.49,3.11
s31bf,22.08,9.75,0.92,53,6,85,14,9,2,1,1,1,0.93,1,0.86,0.93,1,0.86,1.07,1.89,1.34
