"","contrast.ctr","Adverb","ROI","estimate","SE.ctr","df.ctr","t.ratio","p (raw)","p (FDR BH)","contrast.eff","effect.size","SE.eff","df.eff","lower.CL","upper.CL"
"1","V3 - V2","kanske","L_Ant",0.214294912757696,0.107600263159752,125060.533175306,1.9915835376679,0.0464,0.0968,"(V3 - V2)",0.0508313329383204,0.0255232759312466,125060.533175306,0.000806147190384778,0.100856518686256
"2","V3 - V2","hemma","L_Ant",0.622050320791733,0.107492926719939,125060.533175306,5.78689537789232,0,0,"(V3 - V2)",0.14755201863474,0.0254993206475111,125060.533175306,0.0975737848345771,0.197530252434903
"3","V3 - V2","idag","L_Ant",0.243555260188478,0.107759463140314,125060.533175306,2.26017514463063,0.0238,0.0714,"(V3 - V2)",0.0577719664932884,0.0255610972765481,125060.533175306,0.00767265155327579,0.107871281433301
"4","V3 - V2","kanske","M_Ant",-0.227193870264186,0.222064352921225,125060.533175306,-1.02309923801584,0.3063,0.4352,"(V3 - V2)",-0.0538910005484004,0.0526743754317242,125060.533175306,-0.157131878491602,0.0493498773948017
"5","V3 - V2","hemma","M_Ant",0.465894708231391,0.221759634439605,125060.533175306,2.10089951405595,0.0357,0.0963,"(V3 - V2)",0.110511484960396,0.0526024494571037,125060.533175306,0.00741158070137837,0.213611389219413
"6","V3 - V2","idag","M_Ant",-0.044890597175038,0.222462643502114,125060.533175306,-0.201789372221549,0.8401,0.9073,"(V3 - V2)",-0.0106481710715386,0.0527687450606286,125060.533175306,-0.114074011878741,0.0927776697356636
"7","V3 - V2","kanske","R_Ant",0.173875371223133,0.10765342155919,125060.533175306,1.61514022225046,0.1063,0.205,"(V3 - V2)",0.0412437083581663,0.0255358160068862,125060.533175306,-0.00880605572426105,0.0912934724405937
"8","V3 - V2","hemma","R_Ant",0.359717389326677,0.107401318317104,125060.533175306,3.34928281107877,0.0008,0.0055,"(V3 - V2)",0.085325937724161,0.0254764547625507,125060.533175306,0.035392520668742,0.13525935477958
"9","V3 - V2","idag","R_Ant",-0.116181244440581,0.10796649426749,125060.533175306,-1.07608610642426,0.2819,0.4228,"(V3 - V2)",-0.0275585054323014,0.0256100037822886,125060.533175306,-0.0777536762898909,0.022636665425288
"10","V3 - V2","kanske","L_Cent",0.213902107937677,0.107505247202034,125060.533175306,1.98968993146625,0.0466,0.0968,"(V3 - V2)",0.0507381585725399,0.0255007373257919,125060.533175306,0.000757148107095852,0.100719169037984
"11","V3 - V2","hemma","L_Cent",0.569591318951121,0.107176348780098,125060.533175306,5.31452438373128,0,0,"(V3 - V2)",0.135108601505248,0.0254239558602417,125060.533175306,0.0852780814034427,0.184939121607053
"12","V3 - V2","idag","L_Cent",0.638144329715511,0.108755067717041,125060.533175306,5.86772040247204,0,0,"(V3 - V2)",0.151369561083085,0.0257987725542682,125060.533175306,0.100804406650224,0.201934715515946
"13","V3 - V2","kanske","M_Cent",-0.151859703204976,0.227346432432912,125060.533175306,-0.667966070898378,0.5042,0.619,"(V3 - V2)",-0.036021532355529,0.0539272368297788,125060.533175306,-0.141717997282272,0.0696749325712143
"14","V3 - V2","hemma","M_Cent",0.342208860399419,0.225868423822717,125060.533175306,1.51508057039446,0.1298,0.2274,"(V3 - V2)",0.0811728673049488,0.0535768470336745,125060.533175306,-0.0238368395942783,0.186182574204176
"15","V3 - V2","idag","M_Cent",-0.099526744672313,0.225853466017731,125060.533175306,-0.440669547504308,0.6595,0.7741,"(V3 - V2)",-0.0236080130396089,0.0535730738422307,125060.533175306,-0.128610324547925,0.0813942984687071
"16","V3 - V2","kanske","R_Cent",0.0109311507297208,0.107460860545016,125060.533175306,0.101722158879807,0.919,0.9543,"(V3 - V2)",0.0025928985200394,0.0254900073125919,125060.533175306,-0.0473670813024397,0.0525528783425185
"17","V3 - V2","hemma","R_Cent",0.15229413321165,0.107540524441143,125060.533175306,1.41615576084531,0.1567,0.2489,"(V3 - V2)",0.0361245803281734,0.0255090055925804,125060.533175306,-0.0138726357992328,0.0861217964555795
"18","V3 - V2","idag","R_Cent",-0.218227346462478,0.108103519998256,125060.533175306,-2.01868862795585,0.0435,0.0968,"(V3 - V2)",-0.0517641168496756,0.0256426563360937,125060.533175306,-0.102023286156118,-0.00150494754323333
"19","V3 - V2","kanske","L_Post",-0.160230598888644,0.107136070465734,125060.533175306,-1.49558032315449,0.1348,0.2274,"(V3 - V2)",-0.0380071314535796,0.025413079384954,125060.533175306,-0.0878163338492246,0.0118020709420654
"20","V3 - V2","hemma","L_Post",-0.292896195402232,0.107095539598924,125060.533175306,-2.73490564125394,0.0062,0.0281,"(V3 - V2)",-0.0694757697850365,0.0254037316850429,125060.533175306,-0.119266650848199,-0.0196848887218735
"21","V3 - V2","idag","L_Post",0.253612042537085,0.108629858468035,125060.533175306,2.3346439562168,0.0196,0.066,"(V3 - V2)",0.0601574624683062,0.0257675771453485,125060.533175306,0.00965345050516153,0.110661474431451
"22","V3 - V2","kanske","M_Post",-0.194191359556186,0.222831193048745,125060.533175306,-0.871472960761405,0.3835,0.5177,"(V3 - V2)",-0.0460627157421452,0.052856241997341,125060.533175306,-0.149660049053805,0.0575346175695146
"23","V3 - V2","hemma","M_Post",0.00959787921877427,0.222485942220024,125060.533175306,0.0431392613978396,0.9656,0.9656,"(V3 - V2)",0.00227664291136458,0.052774267478586,125060.533175306,-0.101160021740897,0.105713307563627
"24","V3 - V2","idag","M_Post",-0.148107656530753,0.221838530158497,125060.533175306,-0.667637206327207,0.5044,0.619,"(V3 - V2)",-0.0351315367357396,0.0526207463002454,125060.533175306,-0.138267302495421,0.0680042290239422
"25","V3 - V2","kanske","R_Post",-0.0346180403623013,0.107716861714111,125060.533175306,-0.321379956781327,0.7479,0.8414,"(V3 - V2)",-0.00821149280999509,0.0255507362328494,125060.533175306,-0.0582905002809758,0.0418675146609856
"26","V3 - V2","hemma","R_Post",-0.307368420027307,0.10783613449582,125060.533175306,-2.85032861632499,0.0044,0.0236,"(V3 - V2)",-0.0729086206110716,0.0255794384049448,125060.533175306,-0.123043883850093,-0.0227733573720496
"27","V3 - V2","idag","R_Post",-0.255409339369196,0.107926314889607,125060.533175306,-2.36651589216626,0.018,0.066,"(V3 - V2)",-0.0605837861382726,0.0256007005579749,125060.533175306,-0.110760722834793,-0.0104068494417527
