"","contrast.ctr","Adverb","ROI","estimate","SE.ctr","df.ctr","t.ratio","p (raw)","p (FDR BH)","contrast.eff","effect.size","SE.eff","df.eff","lower.CL","upper.CL"
"1","V3 - V2","kanske","L_Ant",0.597696362517017,0.111922986270124,124061.590722231,5.34024673961512,0,0,"(V3 - V2)",0.136442874515877,0.0255513767747318,124061.590722231,0.0863626076909842,0.18652314134077
"2","V3 - V2","hemma","L_Ant",0.700286617045139,0.111883672296998,124061.590722231,6.25905999211586,0,0,"(V3 - V2)",0.159862306359473,0.0255429459931537,124061.590722231,0.109798563724047,0.209926048994899
"3","V3 - V2","idag","L_Ant",0.841719686927204,0.112565402933189,124061.590722231,7.47760559633755,0,0,"(V3 - V2)",0.192148824759967,0.025699444685409,124061.590722231,0.14177834733154,0.242519302188394
"4","V3 - V2","kanske","M_Ant",0.573866454605797,0.231834945399176,124061.590722231,2.47532335393919,0.0133,0.0163,"(V3 - V2)",0.131002953280347,0.0529242203574567,124061.590722231,0.0272723754579439,0.23473353110275
"5","V3 - V2","hemma","M_Ant",0.473012796954525,0.232286038412649,124061.590722231,2.03633761282816,0.0417,0.049,"(V3 - V2)",0.107979953947658,0.0530269876558611,124061.590722231,0.0040479539564874,0.211911953938829
"6","V3 - V2","idag","M_Ant",0.865848920659971,0.234292985253595,124061.590722231,3.69558192159611,0.0002,0.0003,"(V3 - V2)",0.197657076469078,0.0534861571257313,124061.590722231,0.0928251120739667,0.30248904086419
"7","V3 - V2","kanske","R_Ant",0.561975532028835,0.112033073910815,124061.590722231,5.01615739363006,0,0,"(V3 - V2)",0.12828847857581,0.0255763374816257,124061.590722231,0.0781592891870798,0.178417667964539
"8","V3 - V2","hemma","R_Ant",0.772763809235866,0.111917108672275,124061.590722231,6.90478710899095,0,0,"(V3 - V2)",0.176407490602686,0.0255510137898565,124061.590722231,0.126327935222017,0.226487045983356
"9","V3 - V2","idag","R_Ant",0.916880724239127,0.112671351416427,124061.590722231,8.13765622505395,0,0,"(V3 - V2)",0.209306680530156,0.025724163578383,124061.590722231,0.15888775448909,0.259725606571222
"10","V3 - V2","kanske","L_Cent",0.36413807745739,0.111861885466788,124061.590722231,3.25524709276874,0.0011,0.0015,"(V3 - V2)",0.083125896566849,0.0255365125560469,124061.590722231,0.033074763359469,0.133177029774229
"11","V3 - V2","hemma","L_Cent",0.785992992117785,0.111691923880292,124061.590722231,7.03715152189687,0,0,"(V3 - V2)",0.179427465046405,0.02549969751867,124061.590722231,0.129448488690347,0.229406441402463
"12","V3 - V2","idag","L_Cent",0.997586834158043,0.113321937612226,124061.590722231,8.80312193012145,0,0,"(V3 - V2)",0.227730372422739,0.0258732830700459,124061.590722231,0.177019174697173,0.278441570148306
"13","V3 - V2","kanske","M_Cent",0.144772345334087,0.239241664435576,124061.590722231,0.605130154380245,0.5451,0.5661,"(V3 - V2)",0.0330488123846088,0.0546144269115811,124061.590722231,-0.0739945417302812,0.140092166499499
